Date,Time,Year,Month,Day,DOW,DOW.Name,MaxT,MeanT,MinT,RH,AH,ph,sh,pm25,pm10,o3,no2,so2,co,Rain
25/5/2009,145,2009,5,25,0,Monday,33.8,30.10892857,27.12857143,78.70595238,23.94533696,0,0,16.55764,23.89919,16.21597,19.21756,17.93882,0.3497222,0
26/5/2009,146,2009,5,26,1,Tuesday,31.27142857,27.41904762,24.7,88.94404762,23.37010142,0,0,18.84306,27.19097,10.27222,22.56906,12.43369,0.4454167,27.4
27/5/2009,147,2009,5,27,2,Wednesday,32.68571429,28.85654762,25.35714286,78.86785714,22.42000489,0,0,24.95278,34.78935,14.27153,28.63518,21.61003,0.5563889,0
28/5/2009,148,2009,5,28,3,Thursday,33.24285714,28.98095238,26.27142857,81.15714286,23.22752199,0,0,18.85417,27.90162,13.77847,24.26303,13.34611,0.3272222,0
29/5/2009,149,2009,5,29,4,Friday,33.24285714,28.80535714,25.9,80.87619048,22.92687884,0,0,26.04305,37.4728,16.25764,26.1941,11.39539,0.3963194,0
30/5/2009,150,2009,5,30,5,Saturday,32.94285714,28.74166667,24.38571429,79.45119048,22.4448965,0,1,20.13194,30.49074,28.30208,21.24524,5.917377,0.3838889,1.4
31/5/2009,151,2009,5,31,6,Sunday,33.74285714,29.44404762,25.81428571,78.40833333,23.01239087,0,1,15.62222,23.26389,18.43056,16.35379,4.582589,0.3663889,0
1/6/2009,152,2009,6,1,0,Monday,34.17142857,29.91190476,26.2,73.45595238,22.11174691,0,1,15.78472,23.48148,18.69861,20.68573,8.739895,0.2946528,0
2/6/2009,153,2009,6,2,1,Tuesday,34,30.04285714,25.95714286,73.11547619,22.16541845,0,1,14.34028,21.32407,15.60764,18.19407,11.82609,0.2667361,0
3/6/2009,154,2009,6,3,2,Wednesday,31.67142857,28.0875,24.2,77.75,21.19300932,0,1,11.74444,17.49479,15.94792,20.82045,17.33387,0.3694445,2.5
